                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2012


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    3.1    8.7  12:01   -4.1  00:00   15.2    0.0    0.0    1.9   27.4  12:27     74
 02   -0.2    8.6  14:38   -8.9  07:23   18.5    0.0    0.0    1.2   20.9  22:54     33
 03   -1.6    4.2  00:04  -10.4  23:41   19.9    0.0    0.0    2.1   24.1  00:36    141
 04   -5.4    3.4  14:42  -14.8  05:10   23.7    0.0    0.0    0.7   16.1  13:18    331
 05    0.2   10.4  13:03   -8.3  07:07   18.1    0.0    0.0    1.7   22.5  12:51     72
 06    0.4    4.7  13:12   -2.9  20:32   17.9    0.0    0.0    1.0   17.7  10:35    227
 07   -3.2   -0.7  11:00   -5.4  23:38   21.5    0.0    0.0    1.4   14.5  09:48     56
 08   -6.2   -2.1  11:07  -13.2  00:00   24.6    0.0    0.0    3.3   27.4  14:15    122
 09  -14.9   -9.6  12:20  -21.0  23:48   33.2    0.0    0.0    1.0   14.5  02:30    209
 10  -13.7   -9.2  13:28  -20.8  00:04   32.1    0.0    0.0    0.6   11.3  13:07     87
 11  -10.0   -5.6  14:05  -14.0  23:52   28.4    0.0    0.0    1.3   16.1  11:55     26
 12   -8.6    2.0  14:30  -18.9  07:51   26.9    0.0    0.3    0.8   16.1  14:16    130
 13   -7.9   -0.2  14:14  -14.7  07:58   26.2    0.0    0.0    0.3   16.1  17:55    259
 14   -8.0   -3.0  14:15  -14.2  03:04   26.3    0.0    0.0    0.3   11.3  14:53    351
 15   -4.8   -1.7  12:03   -8.0  23:05   23.1    0.0    0.0    0.6   12.9  16:40     35
 16   -8.5   -4.0  13:30  -10.7  02:26   26.8    0.0    0.0    1.2   20.9  15:15     66
 17   -5.6   -2.9  13:07   -9.1  02:23   23.9    0.0    0.0    4.2   33.8  23:13     99
 18   -7.5   -5.3  12:01  -10.2  23:06   25.8    0.0    0.0    0.3   14.5  00:24     72
 19  -13.4   -9.0  00:47  -22.4  00:00   31.8    0.0    0.0    0.0    0.0  00:00     90
 20  -21.6  -14.1  14:35  -29.4  07:53   39.9    0.0    0.0    0.0    6.4  22:10    360
 21  -18.7  -11.7  13:52  -24.7  07:15   37.1    0.0    0.0    0.1    8.0  01:56    107
 22  -15.7   -8.3  13:36  -22.1  08:01   34.0    0.0    0.0    0.1    8.0  17:57    281
 23  -11.6   -2.3  14:20  -19.4  02:58   29.9    0.0    0.0    0.4    8.0  08:32    341
 24   -8.7   -4.9  14:04  -13.8  07:46   27.1    0.0    0.0    0.3   14.5  20:01    130
 25  -11.1   -6.8  11:47  -19.3  23:42   29.4    0.0    0.0    0.9   16.1  05:34    116
 26  -15.0   -7.8  17:38  -22.3  07:06   33.3    0.0    0.0    0.7   14.5  10:22    208
 27   -9.9   -5.7  11:02  -15.9  00:00   28.3    0.0    0.0    1.4   17.7  15:06    117
 28  -15.0   -9.1  12:13  -19.0  00:00   33.4    0.0    0.0    0.7   20.9  12:48    118
 29  -18.8  -11.7  12:56  -25.8  07:58   37.2    0.0    0.0    0.2    8.0  01:51    224
 30  -16.9  -10.2  13:01  -23.6  06:27   35.2    0.0    0.0    0.1    6.4  11:38    303
 31  -13.4   -8.4  13:13  -18.1  07:15   31.8    0.0    0.0    0.3   12.9  17:35    101
---------------------------------------------------------------------------------------
      -9.4   10.4     05  -29.4     20  860.5    0.0    0.3    0.9   33.8     17     93
    
