                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01  -15.9  -10.7  14:17  -20.3  06:49   34.2    0.0    0.0    0.5   12.9  15:05    270
 02  -15.1   -8.7  13:03  -20.1  23:49   33.4    0.0    0.0    0.8   14.5  13:53    149
 03  -20.5  -15.3  14:52  -26.3  08:13   38.8    0.0    0.0    0.1    6.4  11:07    136
 04  -20.3  -14.2  15:37  -25.8  06:56   38.7    0.0    0.0    0.1    8.0  09:25    314
 05  -19.4  -12.4  15:26  -25.3  05:37   37.7    0.0    0.0    0.3    9.7  11:36    225
 06  -18.4  -12.2  14:10  -25.6  07:31   36.7    0.0    0.0    0.2   11.3  23:33    192
 07  -16.0   -7.6  14:59  -22.8  06:32   34.3    0.0    0.0    0.6   12.9  13:44    263
 08  -11.8   -3.2  12:58  -19.8  02:28   30.1    0.0    0.0    1.1   12.9  02:52    269
 09  -12.5   -4.3  13:00  -19.1  07:13   30.8    0.0    0.0    0.2    6.4  13:28    163
 10  -13.1   -6.6  17:12  -18.4  05:09   31.4    0.0    0.0    0.7   19.3  19:00    203
 11  -12.9   -7.7  12:06  -18.7  22:50   31.2    0.0    0.0    1.0   22.5  14:13    106
 12  -19.3  -13.0  12:52  -24.1  22:46   37.6    0.0    0.0    0.3    8.0  14:22    245
 13  -21.7  -14.9  14:25  -27.4  06:30   40.0    0.0    0.0    0.0    0.0  00:00     90
 14  -25.1  -18.5  13:36  -30.4  07:49   43.4    0.0    0.0    0.2    8.0  15:31    274
 15  -23.1  -17.6  13:46  -30.2  05:25   41.4    0.0    0.0    0.1    4.8  11:31     17
 16  -13.8   -7.3  13:29  -18.0  23:46   32.1    0.0    0.0    0.2    8.0  10:30    321
 17  -15.8   -9.4  14:18  -21.7  06:41   34.2    0.0    0.0    0.0    4.8  17:11    291
 18  -16.3   -9.9  15:45  -23.6  07:10   34.6    0.0    0.0    0.2   12.9  19:56     72
 19  -13.5   -6.2  14:25  -21.9  06:21   31.9    0.0    0.0    0.5   16.1  01:43    201
 20  -13.9   -5.2  15:37  -21.9  07:57   32.2    0.0    0.0    0.4   11.3  15:28    242
 21  -12.0   -1.2  14:44  -20.7  08:01   30.3    0.0    0.0    0.5    8.0  13:38    184
 22  -12.4   -2.2  14:46  -21.0  07:25   30.7    0.0    0.0    0.2   14.5  18:56    251
 23  -11.4   -3.1  12:59  -20.3  07:26   29.7    0.0    0.0    0.2    8.0  15:19    198
 24   -5.3    3.0  15:03  -15.1  07:24   23.7    0.0    0.3    1.0   16.1  11:24    351
 25   -0.0    3.6  12:42   -2.7  05:14   18.3    0.0    2.3    0.4    8.0  00:06      7
 26    1.1    5.4  12:53   -1.6  07:44   17.2    0.0    0.3    0.3    6.4  02:47    356
 27   -0.8    3.7  12:06   -7.5  00:00   19.1    0.0    1.8    1.3   17.7  13:48     19
 28   -7.1   -0.9  13:18  -12.3  00:00   25.4    0.0    0.0    1.7   19.3  21:53    172
 29  -13.0   -8.7  11:34  -17.6  23:51   31.4    0.0    0.0    1.9   24.1  14:57    144
 30  -11.7   -7.3  00:00  -18.6  03:02   30.0    0.0    0.0    2.5   22.5  15:46     85
 31   -5.5   -2.6  14:46   -7.6  02:18   23.9    0.0    0.0    2.9   29.0  09:55    119
---------------------------------------------------------------------------------------
     -13.4    5.4     26  -30.4     14  984.6    0.0    4.6    0.7   29.0     31    120
    
