                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -5.0   -2.4  11:31   -7.3  05:56   23.4    0.0    0.0    2.1   24.1  17:00     50
 02   -6.4   -0.1  13:11  -13.8  00:00   24.7    0.0    3.0    0.4    6.4  00:49    269
 03  -10.9   -3.8  13:03  -17.4  07:41   29.2    0.0    0.0    0.3   11.3  20:38    280
 04  -10.2   -0.1  14:33  -19.9  07:06   28.5    0.0    0.0    0.5   12.9  11:53     10
 05   -7.2    0.2  15:24  -14.9  06:40   25.5    0.0    0.5    0.4   17.7  14:20    272
 06   -7.1    0.8  15:02  -13.4  05:24   25.4    0.0    0.0    0.7   12.9  17:45    147
 07  -10.4   -3.1  13:39  -16.8  06:38   28.7    0.0    2.0    0.2    9.7  01:41    272
 08  -13.0   -4.2  14:24  -21.7  07:13   31.3    0.0    0.0    0.4   12.9  22:46    170
 09   -8.5   -3.2  14:43  -12.4  07:11   26.8    0.0    0.0    1.3   17.7  10:27    103
 10  -10.4   -4.4  12:59  -16.6  00:00   28.7    0.0    0.0    1.0   17.7  01:12     54
 11  -13.2   -6.6  15:33  -18.8  04:40   31.5    0.0    0.0    0.7   12.9  17:30    133
 12  -16.4   -9.9  13:54  -24.6  06:42   34.8    0.0    0.0    0.2    8.0  21:24    330
 13   -9.2   -3.7  15:40  -14.9  01:37   27.5    0.0    0.0    1.1   16.1  14:41    208
 14   -6.4   -2.3  11:00   -8.8  20:48   24.7    0.0    0.8    2.1   27.4  12:46    121
 15   -8.3   -5.1  15:06  -10.2  05:29   26.7    0.0    0.0    3.2   22.5  11:25    120
 16   -6.7    1.2  13:23  -16.2  06:45   25.0    0.0    1.0    0.9   19.3  14:44    156
 17   -8.0    3.8  13:27  -18.8  07:17   26.3    0.0    0.3    1.5   20.9  16:18    124
 18  -10.7   -5.6  10:27  -19.6  00:00   29.1    0.0    0.0    1.5   17.7  00:35    160
 19  -13.7   -4.3  12:54  -25.2  06:44   32.0    0.0    0.0    0.2    8.0  15:52    149
 20   -8.3   -1.1  16:17  -14.9  06:39   26.7    0.0    0.0    1.1   19.3  16:56    120
 21   -7.7   -2.5  11:25  -12.4  22:54   26.1    0.0    0.5    1.2   14.5  15:25    131
 22  -12.2   -4.9  13:41  -17.3  06:26   30.5    0.0    0.5    0.9   17.7  13:12    146
 23   -9.3   -2.2  13:52  -15.2  05:24   27.6    0.0    0.0    0.6   11.3  12:04    349
 24   -9.8   -4.4  14:00  -17.0  00:00   28.1    0.0    0.0    0.5   11.3  15:01    327
 25  -13.3   -4.7  11:40  -19.4  02:24   31.6    0.0    0.0    0.4    8.0  04:54     13
 26  -11.7   -6.1  14:33  -16.4  04:27   30.0    0.0    0.0    1.1   19.3  16:20    186
 27  -12.6   -5.2  12:42  -19.8  23:50   31.0    0.0    0.8    1.1   17.7  12:45    165
 28  -12.5   -4.0  12:53  -21.8  05:10   30.9    0.0    0.0    1.6   17.7  12:39    122
---------------------------------------------------------------------------------------
     -10.0    3.8     17  -25.2     19  792.4    0.0    9.4    1.0   27.4     14    122
    
