                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -4.7   -1.8  14:09   -8.1  06:15   23.0    0.0    0.0    2.2   17.7  12:56    152
 02   -0.3    5.9  13:11   -4.7  23:45   18.6    0.0    0.3    0.7   11.3  14:55    275
 03   -2.0    5.7  13:13   -9.5  06:47   20.4    0.0    0.0    2.2   30.6  14:10     81
 04   -6.2    1.3  10:42  -17.4  23:50   24.5    0.0    1.5    2.5   22.5  11:57    118
 05  -12.4   -1.8  15:15  -23.2  06:30   30.8    0.0    0.5    0.2    4.8  10:47     19
 06   -5.5    5.6  13:41  -17.9  06:01   23.8    0.0    0.0    0.4    9.7  14:25      1
 07   -1.7    7.7  13:49  -10.3  06:26   20.1    0.0    0.0    0.6   11.3  11:43    332
 08   -2.8    5.7  16:10  -10.1  07:09   21.1    0.0    0.0    0.6   12.9  16:10    282
 09   -4.3    0.9  12:03  -11.3  00:00   22.7    0.0    1.3    1.8   16.1  13:07    293
 10   -6.9   -1.2  14:36  -12.6  06:16   25.3    0.0    0.3    1.4   19.3  17:11    226
 11   -5.0    2.3  15:21  -12.0  06:16   23.3    0.0    0.3    3.0   24.1  19:42     62
 12   -0.8    4.2  16:35   -4.0  04:19   19.1    0.0    2.3    2.2   22.5  05:20    126
 13    2.0    7.1  13:50   -2.8  00:12   16.4    0.0    0.0    1.2   14.5  11:44    177
 14    1.9   10.7  15:35   -7.0  07:28   16.5    0.0    0.0    0.6    8.0  13:39    249
 15    5.3   11.5  16:06   -1.9  02:19   13.0    0.0    0.0    1.6   14.5  15:24     34
 16    1.8    6.5  16:03   -2.5  06:36   16.6    0.0    0.0    1.5   17.7  15:10    165
 17   -3.1    3.5  14:19   -7.9  00:00   21.5    0.0    0.8    3.7   49.9  15:55     87
 18   -5.9   -0.8  15:06  -11.8  05:26   24.2    0.0    0.0    3.9   30.6  16:50     56
 19   -3.8    1.3  14:36   -9.4  23:51   22.1    0.0    0.0    3.3   25.7  04:52     59
 20   -5.5    5.3  14:43  -16.3  05:17   23.8    0.0    0.0    1.0   16.1  15:04     23
 21   -2.5    5.3  12:05   -8.3  00:00   20.8    0.0    0.5    2.6   22.5  19:27    111
 22   -7.0    2.2  13:39  -14.4  07:27   25.3    0.0    0.0    1.3   20.9  12:29    330
 23  -10.4   -6.6  12:42  -13.2  00:00   28.7    0.0    0.0    2.8   24.1  06:04    112
 24  -13.0   -6.2  12:41  -19.2  06:50   31.3    0.0    0.0    2.4   25.7  14:35     86
 25  -11.2   -3.4  16:05  -19.4  07:06   29.6    0.0    0.0    0.8   12.9  15:03    256
 26   -5.8    6.6  16:18  -18.8  06:13   24.2    0.0    0.5    1.3   20.9  18:03     40
 27    1.2    9.6  13:25   -3.9  07:04   17.1    0.0    1.3    1.4   27.4  13:31     46
 28    0.9   10.3  12:31   -9.5  07:10   17.4    0.0    0.0    1.0   17.7  14:08     85
 29    2.4    9.9  11:57   -3.8  06:38   16.0    0.0    0.0    1.9   22.5  15:47    165
 30    2.5    9.8  12:55   -3.0  00:00   15.8    0.0    0.0    2.1   24.1  13:00     86
 31    1.2   10.4  15:49   -8.2  07:00   17.2    0.0    0.0    1.2   22.5  16:03    308
---------------------------------------------------------------------------------------
      -3.3   11.5     15  -23.2     05  670.2    0.0    9.4    1.7   49.9     17     90
    
