                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -3.7    0.7  09:46  -10.1  00:00   22.0    0.0    0.5    0.1    9.7  02:58    267
 02   -5.6    2.2  13:57  -14.0  06:19   23.9    0.0   14.7    0.3    9.7  14:50    220
 03   -0.9    8.1  17:12  -12.8  06:16   19.3    0.0    2.3    0.5    9.7  22:13    354
 04    3.4   11.9  12:06   -4.9  06:28   15.0    0.0    0.0    7.7   41.8  17:54    124
 05    4.8   15.1  12:34   -3.9  06:05   13.6    0.0    0.0    3.8   30.6  14:31    124
 06    4.9   13.2  14:40   -2.0  04:54   13.5    0.0    0.0    4.0   48.3  16:12    121
 07    6.4   14.2  14:45    1.4  06:44   11.9    0.0    1.3    1.5   20.9  14:27    329
 08    2.2    8.0  15:51   -1.8  06:28   16.2    0.0    9.9    3.3   33.8  15:04     86
 09    3.4    8.6  14:05   -0.8  23:27   14.9    0.0    1.3    4.3   27.4  15:31    127
 10    4.8   13.2  15:38   -4.6  06:04   13.6    0.0    0.0    3.2   43.5  13:58     37
 11    5.4   15.1  12:05   -3.1  06:09   12.9    0.0    0.3    2.2   43.5  12:55     67
 12    9.6   18.5  16:41   -0.2  05:37    8.7    0.0    0.0    1.8   16.1  11:44    305
 13   12.3   22.7  14:20    1.6  06:22    6.0    0.0    0.0    1.5   22.5  15:14    331
 14   11.2   23.2  13:23    0.6  06:03    7.1    0.0    1.0    3.8   35.4  18:24    100
 15    9.4   20.1  11:25    1.9  06:13    8.9    0.0    2.0    3.7   46.7  21:01     93
 16   10.1   19.9  13:15    1.2  06:18    8.2    0.0    0.0    2.2   30.6  11:35    348
 17   11.2   22.8  14:32   -0.4  05:46    7.2    0.0    0.0    1.8   22.5  15:05    313
 18    5.5   13.2  12:47   -0.8  06:21   12.8    0.0    0.8    2.1   22.5  15:34     51
 19    5.2   11.6  14:18    1.2  06:04   13.1    0.0    0.0    2.5   29.0  18:40    150
 20    3.3    8.2  12:07   -0.4  23:51   15.0    0.0    5.6    1.8   20.9  12:46    306
 21    5.2   13.3  16:32   -2.2  04:56   13.1    0.0    0.0    2.0   22.5  13:00    323
 22    9.7   20.1  15:01   -1.1  05:30    8.7    0.0    0.0    7.6   45.1  20:20    124
 23   14.1   22.1  14:51    3.6  05:59    4.3    0.0    0.0   11.1   45.1  19:18    132
 24   12.3   22.2  14:12    0.8  06:09    6.0    0.0    0.0    2.0   19.3  13:05    326
 25   12.5   22.7  16:10   -0.7  06:02    5.9    0.0    0.0    1.8   19.3  11:28    319
 26   12.3   23.4  14:12    0.7  06:01    6.0    0.0    0.0    4.7   49.9  20:24    120
 27   11.4   20.2  13:29   -0.2  05:43    7.0    0.0    0.0    2.1   25.7  14:41    344
 28    9.9   19.3  14:39   -1.2  05:39    8.4    0.0    0.0    2.1   22.5  13:10    158
 29    3.4    8.2  16:26    0.6  23:41   14.9    0.0    8.1    1.8   24.1  17:11     55
 30    4.7   10.8  15:51    0.1  00:52   13.6    0.0    0.8    3.6   27.4  15:15     65
 31    6.8   12.1  16:54    0.4  02:18   11.5    0.0    0.0    4.3   30.6  08:57     52
---------------------------------------------------------------------------------------
       6.6   23.4     26  -14.0     02  363.1    0.0   48.5    3.1   49.9     26    110
    
