                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    6.8   13.9  19:19   -0.4  04:10   11.6    0.0    0.0    1.7   20.9  09:44    352
 02   11.6   22.9  15:04   -2.8  05:41    6.7    0.0    0.0    2.0   22.5  15:06    341
 03   12.8   23.6  12:51    0.9  07:24    5.5    0.0    0.0    2.7   25.7  15:03     95
 04   12.5   22.1  13:18    0.1  05:58    5.9    0.0    0.3    3.6   32.2  22:38    130
 05   11.8   19.7  14:52    1.0  05:49    6.5    0.0    0.0    2.4   22.5  12:10    299
 06   10.9   20.6  12:51   -0.8  05:44    7.4    0.0    0.0    1.6   27.4  14:51      2
 07   12.5   22.2  16:02    2.2  04:52    5.8    0.0    0.0    2.4   27.4  13:21     64
 08   15.3   21.2  12:35    8.1  05:53    3.0    0.0    0.0    3.0   24.1  12:09     97
 09   15.7   25.2  15:37    2.8  06:00    2.6    0.0    0.0    2.2   20.9  13:25     90
 10   17.1   29.3  15:00    3.7  05:51    1.2    0.0    0.0    2.0   37.0  14:16    127
 11   16.9   26.2  13:07    4.9  05:55    1.4    0.0    0.0    2.9   27.4  13:22     99
 12   17.3   27.4  14:30    3.7  05:41    1.0    0.0    0.0    1.9   19.3  15:21     54
 13   17.6   27.7  15:02    7.4  06:54    0.8    0.0    0.0    1.7   22.5  14:54    125
 14   16.4   25.8  14:21    4.2  05:37    1.9    0.0    0.0    1.9   19.3  14:06    348
 15   14.8   24.8  14:50    1.6  05:52    3.5    0.0    0.0    2.4   27.4  13:25    107
 16   12.0   23.1  11:37    3.6  05:49    6.3    0.0    1.0    2.0   20.9  13:13      4
 17   13.7   23.4  12:15    2.5  05:56    4.6    0.0    0.0    2.1   25.7  21:35    130
 18   15.1   25.1  13:59    2.8  05:48    3.2    0.0    0.0    2.4   29.0  21:20    113
 19   15.7   26.9  15:01    2.2  05:57    2.6    0.0    0.0    2.5   27.4  13:34     68
 20   15.0   25.7  14:14    1.8  05:47    3.4    0.0    0.0    3.4   29.0  17:21    105
 21   15.8   25.6  14:36    2.7  05:51    2.6    0.0    0.0    2.2   30.6  16:05     26
 22   14.8   25.8  14:33    2.4  05:57    3.6    0.0    0.0    2.3   24.1  15:05     72
 23   14.1   25.1  14:52    1.2  05:44    4.2    0.0    0.0    3.5   46.7  17:49    129
 24   14.6   25.1  16:05    2.4  05:38    3.7    0.0    0.0    1.8   22.5  15:15    123
 25   16.7   24.4  14:56    6.3  05:40    1.6    0.0    0.0    1.8   19.3  15:39    276
 26   17.3   27.7  14:33    3.3  05:41    1.1    0.0    0.0    1.5   29.0  11:44      8
 27   19.3   29.6  17:26    6.1  06:02    0.0    1.0    0.0    1.5   19.3  15:05    295
 28   19.0   29.4  12:42    6.4  05:52    0.0    0.7    0.0    3.6   29.0  20:25    122
 29   18.0   27.1  11:42    8.7  05:54    0.3    0.0    0.0    1.9   29.0  14:27     63
 30   16.1   25.8  12:28    7.6  23:53    2.2    0.0    1.8    2.7   33.8  19:10    111
---------------------------------------------------------------------------------------
      14.9   29.6     27   -2.8     02  104.4    1.7    3.0    2.3   46.7     23     96
    
