                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.4   24.2  14:04    3.4  05:57    5.0    0.0    2.8    2.4   25.7  14:32    111
 02   14.9   23.7  16:08    3.5  06:04    3.4    0.0    0.0    3.4   27.4  20:51     86
 03   14.2   25.4  12:15    3.8  05:36    4.1    0.0    0.0    2.0   20.9  15:58    336
 04   14.1   26.9  15:04    4.1  06:03    4.3    0.0    3.6    2.2   33.8  16:20     59
 05   15.4   24.5  12:13    8.5  05:16    2.9    0.0    1.8    1.7   24.1  20:05    142
 06   15.8   23.6  17:08    8.3  05:57    2.5    0.0    6.1    1.6   20.9  02:14    301
 07   17.7   26.7  14:56    8.6  05:26    0.6    0.0    0.5    2.9   27.4  23:54    116
 08   16.9   25.3  13:02    8.2  06:07    1.5    0.0    3.8    2.8   32.2  03:06     80
 09   17.5   28.2  13:37    7.7  06:06    0.9    0.0    0.0    1.5   14.5  13:38    327
 10   19.4   29.1  15:14    6.6  05:53    0.0    1.0    0.0    2.2   24.1  21:59    227
 11   19.9   30.3  16:11    7.9  05:46    0.0    1.5    0.0    3.1   32.2  16:34     98
 12   15.6   24.6  13:13   11.2  06:33    2.7    0.0    3.3    3.0   41.8  13:46    114
 13   16.5   26.6  15:38    9.9  06:21    1.9    0.0    1.8    2.2   25.7  17:16     86
 14   15.9   24.1  12:49    8.4  06:04    2.5    0.0    0.0    4.8   29.0  15:26    121
 15   15.3   25.0  13:37    7.8  05:44    3.0    0.0   18.0    4.5   37.0  14:54    123
 16   15.7   24.3  12:30    5.7  06:13    2.6    0.0    0.0    6.5   32.2  14:07    127
 17   17.1   28.7  14:43    6.3  06:05    1.2    0.0    0.0    2.3   27.4  18:35    114
 18   15.5   27.3  14:05    8.2  05:26    2.8    0.0    1.3    3.3   43.5  15:48    118
 19   16.8   25.1  13:37    9.3  05:34    1.5    0.0    2.3    4.4   32.2  14:31    114
 20   17.7   27.9  13:53    6.3  06:17    0.7    0.0    0.0    2.0   22.5  21:26    124
 21   17.8   28.4  15:10    4.8  06:11    0.5    0.0    0.0    1.8   24.1  13:49    357
 22   18.7   28.3  14:55    7.2  05:40    0.0    0.3    0.0    1.9   19.3  11:16    299
 23   17.4   29.9  14:20    4.2  06:27    0.9    0.0    0.0    2.4   25.7  21:59    122
 24   15.9   28.4  13:35    8.2  05:30    2.4    0.0    1.5    3.2   46.7  14:39    121
 25   14.1   21.7  12:47    9.9  05:42    4.2    0.0    6.9    2.6   27.4  14:17    101
 26   15.4   24.9  13:36    5.4  05:38    2.9    0.0    0.0    1.3   19.3  15:16    275
 27   13.2   27.1  13:20    3.9  06:13    5.1    0.0    6.9    1.6   19.3  12:57     80
 28   12.6   19.1  16:56    8.1  04:35    5.8    0.0    3.3    0.8   11.3  15:13    191
 29   11.6   17.2  09:41    8.1  06:20    6.7    0.0   11.7    1.0   17.7  14:00    151
 30   14.0   23.3  16:00    6.2  06:21    4.4    0.0    0.0    1.8   32.2  17:26    107
 31   15.8   26.2  13:24    5.0  06:13    2.5    0.0    0.0    1.4   20.9  17:51    341
---------------------------------------------------------------------------------------
      15.9   30.3     11    3.4     01   79.4    2.9   75.4    2.5   46.7     24    113
    
