                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.0   25.8  12:24    5.2  06:08    3.3    0.0    0.0    1.4   22.5  13:04     83
 02   16.7   26.0  14:32    6.3  06:07    1.6    0.0    0.0    1.6   19.3  12:39    307
 03   16.7   27.9  14:51    7.3  05:52    1.6    0.0    0.0    3.7   35.4  22:15    122
 04   15.4   26.8  13:32    5.7  06:31    2.9    0.0    0.0    1.5   29.0  13:37     13
 05   13.4   25.3  14:10    5.2  06:19    4.9    0.0    0.3    1.6   19.3  17:32    118
 06   12.8   24.3  13:09    4.3  06:29    5.6    0.0    0.0    1.9   29.0  14:06     20
 07   10.9   17.4  16:11    5.8  05:28    7.5    0.0    0.0    0.9   19.3  14:00      3
 08   10.3   18.2  13:21    3.8  04:58    8.0    0.0    0.3    2.2   32.2  13:59     96
 09   10.3   23.1  12:48    3.5  04:51    8.0    0.0    0.5    2.2   22.5  17:25    111
 10   12.9   25.2  14:40    1.5  06:38    5.5    0.0    0.3    1.6   25.7  15:22    318
 11   14.4   23.9  14:40    6.6  06:25    3.9    0.0    0.0    2.3   24.1  15:20     41
 12   13.2   24.1  12:31    3.4  06:02    5.1    0.0    0.5    3.0   32.2  14:32     61
 13   10.7   20.1  12:16    4.4  06:31    7.7    0.0    1.3    2.4   29.0  16:18     43
 14   10.9   22.4  16:12    2.3  04:51    7.5    0.0    0.3    1.9   24.1  14:44     26
 15   13.4   25.3  15:28    0.7  06:35    4.9    0.0    0.0    1.6   22.5  17:14     15
 16   15.1   26.4  13:07    1.5  06:27    3.2    0.0    0.0    2.0   25.7  21:47     86
 17   16.6   26.9  12:17    5.4  06:33    1.7    0.0    0.0    1.7   32.2  18:45     10
 18   14.6   26.9  13:58    5.1  06:42    3.8    0.0    1.8    3.1   40.2  16:46     96
 19   16.6   27.9  14:34    4.6  06:44    1.7    0.0    0.3    1.7   24.1  13:49    346
 20   16.5   28.6  13:57    5.3  06:23    1.9    0.0    1.8    1.5   19.3  15:39    279
 21   18.0   26.8  14:56    8.9  06:00    0.3    0.0    0.0    2.3   24.1  20:32    119
 22   15.6   23.2  13:11    8.7  05:11    2.8    0.0    3.0    3.6   33.8  16:26    118
 23   13.7   24.6  14:13    7.6  06:43    4.6    0.0    6.9    3.4   38.6  15:33    123
 24   13.2   23.0  16:41    6.6  06:30    5.1    0.0    6.1    2.3   33.8  19:35    122
 25   12.8   23.0  13:15    6.6  02:49    5.5    0.0    3.0    1.6   35.4  15:10    107
 26   15.7   23.9  16:35   10.4  02:29    2.6    0.0    1.5    3.0   40.2  18:00    116
 27   15.5   25.9  14:39    7.3  06:45    2.9    0.0    2.5    2.2   24.1  15:16    101
 28   15.1   27.0  14:31    7.5  06:50    3.2    0.0    2.0    2.3   33.8  14:23    101
 29   14.9   27.0  14:51    5.9  06:27    3.4    0.0    0.0    3.1   48.3  17:53    115
 30   14.4   26.1  15:29    6.9  06:57    4.0    0.0    0.0    1.0   17.7  17:51    299
 31   14.3   25.3  13:35    7.0  06:49    4.0    0.0    0.0    3.2   40.2  15:55    115
---------------------------------------------------------------------------------------
      14.2   28.6     20    0.7     15  128.7    0.0   32.3    2.2   48.3     29     94
    
