                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -1.2    3.8  13:33   -4.6  23:59   19.6    0.0    0.5    0.7   17.7  13:49    337
 02   -2.3    4.1  13:44   -8.5  06:48   20.6    0.0    0.8    1.6   19.3  16:32     99
 03   -3.4    3.0  13:49   -8.6  23:59   21.7    0.0    4.8    1.3   20.9  16:44    337
 04   -5.1    5.3  14:29  -16.1  06:52   23.5    0.0    0.0    0.7   14.5  15:35    332
 05   -1.3    6.7  12:33   -7.7  07:07   19.7    0.0    0.0    1.5   22.5  15:59      3
 06   -1.4    3.9  14:33   -4.9  05:45   19.8    0.0    0.3    1.7   20.9  15:14    112
 07   -1.3    3.1  15:58   -6.2  04:37   19.6    0.0    0.3    2.3   24.1  17:25     69
 08    3.1    9.8  14:59   -4.3  06:35   15.2    0.0    0.0    0.8   16.1  12:41     98
 09    4.0   14.1  14:39   -5.8  07:11   14.3    0.0    0.0    1.7   33.8  13:40    113
 10    6.1   12.6  11:45    0.2  04:50   12.2    0.0    0.0    1.3   17.7  15:18    314
 11    5.3   13.8  15:32   -5.2  06:36   13.0    0.0    0.0    1.4   20.9  14:38    100
 12    5.2   15.2  13:51   -2.8  07:10   13.1    0.0    0.0    1.0   16.1  13:56    175
 13   -3.0    3.1  00:00  -10.7  23:12   21.4    0.0    2.5    2.5   40.2  13:36    102
 14   -8.3   -2.5  12:43  -15.2  06:40   26.7    0.0    2.3    1.0   16.1  10:57     99
 15   -3.5    6.7  15:27  -15.1  06:10   21.8    0.0    8.9    1.5   29.0  23:48     89
 16    2.1    6.9  15:46   -3.0  06:58   16.2    0.0    0.3    2.7   37.0  01:19     89
 17    1.9   10.3  16:23   -8.7  06:41   16.5    0.0    0.0    1.2   20.9  16:45    356
 18    5.8   16.4  13:55   -4.4  06:40   12.5    0.0    0.0    1.5   24.1  14:10     75
 19    4.6   12.0  14:21   -0.6  04:51   13.7    0.0    0.3    2.2   33.8  15:53    114
 20    4.9   13.7  12:30   -0.4  02:36   13.5    0.0    2.0    1.9   19.3  14:25     80
 21    5.4   16.6  14:29   -4.2  06:25   12.9    0.0    0.0    1.4   20.9  15:15     43
 22    6.1   17.2  14:13   -3.3  06:21   12.3    0.0    0.0    1.7   25.7  21:08    107
 23    4.5   10.0  14:13   -2.9  23:48   13.8    0.0    0.0    2.4   29.0  05:08    130
 24    2.7   11.2  16:17   -6.4  05:23   15.6    0.0    0.0    2.0   20.9  17:56     77
 25    6.1   17.6  14:52   -5.0  06:00   12.2    0.0    0.0    1.5   27.4  14:27    102
 26    5.9   16.2  12:02   -1.8  06:04   12.4    0.0    0.0    3.1   32.2  12:09    128
 27   -1.5    0.8  15:33   -4.2  07:21   19.8    0.0    0.8    3.6   24.1  12:56     85
 28   -2.4    3.6  12:56   -5.2  23:31   20.7    0.0    1.0    4.2   27.4  11:29     77
 29   -2.7    1.7  13:39   -5.5  05:19   21.0    0.0    0.0    3.2   24.1  12:53    142
 30   -1.9    3.7  15:47   -5.2  05:31   20.2    0.0    1.8    2.1   25.7  16:17    277
---------------------------------------------------------------------------------------
       1.1   17.6     25  -16.1     04  515.5    0.0   26.4    1.9   40.2     13     92
    
