                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.0   20.4  15:37    1.3  06:38    7.4    0.0    0.0    1.5   20.9  13:40     23
 02   12.5   24.2  16:02   -0.7  06:32    5.8    0.0    0.0    1.6   24.1  14:39    343
 03   14.8   25.8  14:27    2.3  06:50    3.5    0.0    0.0    1.7   22.5  12:46     85
 04   11.7   24.0  12:23    2.6  06:44    6.7    0.0    1.3    2.0   20.9  20:10    108
 05   11.9   22.7  13:52    4.9  07:00    6.4    0.0    0.0    2.2   32.2  02:20    118
 06   11.4   21.8  13:49    0.7  06:55    6.9    0.0    0.0    1.2   27.4  17:27    325
 07   10.3   20.9  15:35    0.6  06:53    8.0    0.0    0.0    1.4   22.5  12:51    351
 08    9.4   18.5  13:47    1.6  07:11    8.9    0.0    1.8    1.4   17.7  14:09     35
 09    9.4   15.4  11:12    6.9  01:08    8.9    0.0   12.2    0.7   16.1  11:58     92
 10   10.4   16.3  14:23    5.7  06:35    8.0    0.0    3.0    1.4   20.9  16:40     16
 11   11.1   20.2  14:20    2.3  07:06    7.2    0.0    0.0    2.2   25.7  15:31    101
 12    7.9   16.4  15:58   -0.9  06:30   10.5    0.0    0.0    1.5   22.5  15:47    352
 13    8.3   19.9  15:02   -3.8  07:00   10.0    0.0    0.0    1.2   22.5  12:10    350
 14    9.9   21.9  13:49   -1.3  07:32    8.5    0.0    0.0    1.2   24.1  14:31     73
 15   11.5   23.2  13:54    0.9  07:08    6.8    0.0    0.0    1.2   27.4  17:45    307
 16   12.0   23.9  14:49    0.7  06:43    6.3    0.0    0.0    1.5   20.9  13:56    315
 17   12.0   24.2  14:10    0.5  06:10    6.3    0.0    0.0    0.9   16.1  13:27    289
 18   13.6   25.4  14:35    1.2  07:03    4.7    0.0    0.0    2.8   22.5  16:45    114
 19   14.3   24.8  13:52    2.9  06:43    4.0    0.0    0.0    1.3   20.9  13:07    326
 20   14.0   23.9  15:45    2.9  06:54    4.3    0.0    0.0    4.5   37.0  20:10    118
 21   10.9   19.9  11:34    5.9  06:51    7.4    0.0    4.3    1.8   27.4  14:11    128
 22   10.2   15.3  16:28    7.8  22:44    8.2    0.0   12.7    1.1   24.1  16:42     48
 23   10.5   15.7  16:49    6.4  06:20    7.8    0.0    1.3    1.0   16.1  14:53     69
 24   11.6   21.3  15:07    2.1  07:02    6.7    0.0    0.3    0.9   16.1  20:29    196
 25   13.1   24.2  14:22    1.5  07:06    5.3    0.0    0.0    1.5   24.1  19:57    114
 26   13.8   24.1  13:47    2.9  07:18    4.6    0.0    0.0    1.5   24.1  20:20    122
 27   13.5   24.3  12:32    3.3  07:20    4.8    0.0    0.0    3.7   35.4  16:19    118
 28    9.1   18.7  13:28    3.9  07:15    9.2    0.0    4.1    3.3   41.8  12:18    111
 29    5.5   12.8  11:31   -0.1  23:29   12.9    0.0   21.3    1.3   12.9  02:15     77
 30    3.8   10.2  14:25    0.0  00:00   14.5    0.0    4.3    0.8   17.7  14:15     79
---------------------------------------------------------------------------------------
      11.0   25.8     03   -3.8     13  220.6    0.0   66.5    1.7   41.8     28    102
    
