                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    3.1    8.8  11:52   -0.1  23:54   15.3    0.0    1.3    0.9   16.1  15:42    238
 02    2.5    7.5  15:22   -1.6  06:22   15.8    0.0    0.3    1.4   17.7  13:20    109
 03    5.3   11.1  14:30   -0.2  23:59   13.1    0.0    0.0    2.0   22.5  12:08     38
 04    4.9   14.4  14:50   -4.6  07:24   13.4    0.0    0.0    1.4   24.1  15:41     51
 05    6.4   14.3  14:05   -0.9  06:39   11.9    0.0    0.0    1.8   22.5  12:30     79
 06    9.4   16.8  14:03    3.1  23:58    9.0    0.0    0.0    1.7   22.5  13:24    320
 07    7.3   17.7  14:07   -2.6  06:42   11.1    0.0    0.0    1.1   19.3  13:19    350
 08    7.3   18.1  14:27   -1.8  06:54   11.0    0.0    0.0    0.7   11.3  14:48    316
 09    5.8   10.7  12:11    2.9  04:37   12.6    0.0    2.3    3.7   33.8  10:40    116
 10    6.3   12.8  12:44    1.3  06:56   12.0    0.0    0.3    1.7   16.1  16:53     92
 11    5.8   12.9  12:36   -1.1  07:09   12.5    0.0    0.0    1.1   17.7  12:29     30
 12    2.3    5.7  00:57   -1.7  20:09   16.1    0.0    0.8    1.4   19.3  11:11    102
 13    0.6    7.0  13:15   -3.8  23:29   17.7    0.0    0.3    1.3   22.5  11:48     36
 14    2.6   14.3  15:36   -7.5  07:17   15.7    0.0    0.0    0.5   11.3  12:34    311
 15    5.6   17.7  15:12   -6.1  07:15   12.7    0.0    0.0    1.1   20.9  16:30    116
 16    9.6   18.2  13:34    1.8  07:56    8.8    0.0    0.0    1.2   20.9  13:26     51
 17    6.5   17.1  14:00   -3.7  07:30   11.9    0.0    0.0    0.8   16.1  16:09    300
 18    6.1   17.3  14:01   -3.5  07:09   12.2    0.0    0.0    0.6   17.7  13:37    280
 19    6.7   16.4  15:03   -3.2  07:41   11.6    0.0    0.0    1.9   27.4  19:03    134
 20    6.5   17.4  14:59   -3.2  07:18   11.8    0.0    0.0    2.8   35.4  18:38    125
 21    5.2   15.3  14:10   -2.2  07:44   13.1    0.0    1.3    2.1   33.8  19:56    117
 22    3.7   12.2  14:00   -0.7  23:30   14.7    0.0    2.3    1.5   14.5  10:36     72
 23    4.0   13.8  14:31   -3.4  07:57   14.4    0.0    0.3    0.6   19.3  15:59    346
 24    5.9   18.1  14:55   -3.1  07:51   12.4    0.0    0.0    0.8   16.1  14:29    335
 25    5.9   18.8  14:40   -4.9  07:26   12.4    0.0    0.0    0.8   11.3  13:22     65
 26    7.5   15.7  13:19   -1.3  07:26   10.9    0.0    0.3    2.2   30.6  12:40    103
 27   -2.2    3.5  00:00   -8.6  23:56   20.5    0.0    1.5    1.3   14.5  00:36    171
 28   -1.9    6.8  15:47  -10.3  07:50   20.2    0.0    1.5    0.7   12.9  12:49    279
 29    0.9   10.6  15:07   -9.3  07:40   17.4    0.0    0.0    1.0   16.1  14:23     84
 30    4.9   12.7  14:13   -2.1  23:58   13.4    0.0    0.0    1.0   16.1  11:40    112
 31    2.9   14.9  14:28   -6.7  07:07   15.4    0.0    0.0    0.5   16.1  16:31     87
---------------------------------------------------------------------------------------
       4.8   18.8     25  -10.3     28  421.0    0.0   12.2    1.3   35.4     20    106
    
