                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    6.4   12.8  16:15   -0.1  00:00   11.9    0.0    0.0    0.7    9.7  15:30      5
 02    1.4   10.9  12:00   -3.3  05:00   16.9    0.0    0.0    0.8   20.9  12:00    104
 03   -1.6    1.4  14:55   -4.0  23:15   19.9    0.0    1.0    0.9   12.9  15:10    134
 04   -2.5    3.6  14:35   -7.1  00:00   20.9    0.0    0.5    0.6   12.9  13:10    332
 05   -0.6    7.4  15:00   -7.1  00:10   19.0    0.0    0.3    0.7   12.9  04:50    290
 06    0.8   12.0  14:55   -8.6  06:20   17.6    0.0    0.3    0.3   12.9  13:15     35
 07    2.8   11.2  12:35   -5.6  04:05   15.5    0.0    0.0    1.6   24.1  12:40     64
 08    2.8    9.9  14:15   -5.3  06:15   15.5    0.0    0.0    0.7   16.1  13:40    314
 09    4.0   12.4  13:40   -4.2  06:55   14.3    0.0    0.0    1.6   17.7  10:20     80
 10   -0.7    7.6  08:35   -7.2  23:30   19.1    0.0    0.0    2.1   25.7  09:20    120
 11   -5.5    0.4  13:01  -12.0  07:17   23.9    0.0    1.3    1.9   20.9  11:30    315
 12  -12.1   -8.4  00:00  -15.6  23:58   30.4    0.0    0.0    1.8   14.5  01:09     15
 13  -13.0   -5.7  23:58  -20.4  06:25   31.3    0.0    0.0    0.1    6.4  00:00     37
 14   -2.5    0.9  13:21   -5.7  00:00   20.8    0.0    2.0    0.3    9.7  13:25     29
 15   -6.1   -1.9  08:30  -13.6  23:56   24.4    0.0    0.0    0.4   17.7  06:05    107
 16  -15.5   -9.3  13:58  -22.4  06:52   33.8    0.0    0.0    0.0    1.6  02:55     90
 17  -11.7   -7.2  11:09  -16.2  07:21   30.1    0.0    0.0    0.8   20.9  12:37     31
 18  -10.3   -3.8  14:42  -18.6  04:08   28.6    0.0    0.0    0.6   14.5  16:04     15
 19   -4.6    2.6  14:48   -9.5  23:36   23.0    0.0    0.0    0.5   11.3  10:30     37
 20   -6.9   -0.4  15:59  -14.1  05:55   25.2    0.0    0.0    0.2   11.3  14:18    231
 21   -5.4    2.3  13:05  -10.7  03:18   23.7    0.0    0.0    0.2   12.9  13:24     78
 22   -5.3    3.6  14:09  -13.7  06:17   23.7    0.0    0.3    1.0   19.3  12:31     41
 23   -6.9   -2.8  09:22  -10.7  19:07   25.2    0.0    0.0    2.5   25.7  12:22    120
 24   -9.4   -5.6  12:35  -11.7  20:27   27.7    0.0    0.0    1.6   19.3  13:54     62
 25   -8.0   -2.8  23:57  -11.1  05:18   26.3    0.0    0.0    2.7   24.1  22:10     36
 26   -0.4    2.6  13:51   -3.2  23:49   18.7    0.0    0.8    3.3   24.1  04:14     53
 27   -1.4    4.6  11:45   -7.8  07:05   19.7    0.0    3.0    0.3   11.3  01:21     37
 28   -1.2    8.3  14:45   -9.1  06:44   19.6    0.0    1.0    0.4   12.9  13:07     34
 29    1.3    7.8  10:58   -4.3  05:50   17.0    0.0    0.3    1.1   17.7  12:41    130
 30    2.1    4.6  11:18   -0.2  00:41   16.2    0.0    0.0    1.6   25.7  02:20    127
---------------------------------------------------------------------------------------
      -3.9   12.8     01  -22.4     16  660.1    0.0   10.7    1.0   25.7     10     66
    
